met2013,occ_group,occ_group_code,current_emp,supply_baseline,supply_low_immigration,supply_no_immigration,supply_high_domestic,growth_baseline,growth_low_immigration,growth_no_immigration,growth_high_domestic
34580,Community and Social Service,2000,441.6,624.7954571268722,617.111520896498,609.3409752059421,624.7954571268722,0.4148447851604896,0.39744456724750443,0.37984822283954256,0.4148447851604896
34580,Computer and Mathematical,1000,453.5999999999999,831.8822560104671,815.4673981739941,798.7439631521797,831.8822560104671,0.8339555908520003,0.7977676326587175,0.7608993896652996,0.8339555908520003
34580,Construction and Extraction,6200,1681.0,2730.2519549455947,2693.167829484429,2655.6145304054203,2730.2519549455947,0.6241831974691224,0.6021224446665254,0.5797825879865678,0.6241831974691224
34580,"Education, Training, and Library",2200,1439.4000000000003,2171.8458702367884,2141.0654574557934,2109.881166814701,2171.8458702367884,0.5088549883540279,0.4874707916185863,0.4658060072354455,0.5088549883540279
34580,Food Preparation and Serving,4000,984.7999999999998,1570.1012522254919,1542.886194679408,1515.2294141154732,1570.1012522254919,0.5943351464515557,0.5667000352146712,0.5386163831391889,0.5943351464515557
34580,Healthcare Practitioners and Technical,3000,1040.8000000000002,1852.2215219752457,1828.1650133727956,1803.8154002956878,1852.2215219752457,0.779613299361304,0.7564998206886964,0.7331047274170709,0.779613299361304
34580,Healthcare Support,3600,492.6,807.788952532005,797.6015588352592,787.2946046233756,807.788952532005,0.6398476502882765,0.6191667861048703,0.5982432087360446,0.6398476502882765
34580,"Installation, Maintenance, and Repair",7000,827.1999999999999,1323.0168888965763,1306.9240474747498,1290.6496224364732,1323.0168888965763,0.5993917902521475,0.5799371947228603,0.5602630832162394,0.5993917902521475
34580,Management,10,3125.4,4768.616373491217,4709.167162867946,4649.033198585279,4768.616373491217,0.5257619419886147,0.5067406293171902,0.4875002235186787,0.5257619419886147
34580,Office and Administrative Support,5000,2685.4000000000005,3685.81373961664,3635.5851978607975,3584.7298291286365,3685.81373961664,0.37253807239764614,0.353833766984731,0.3348960412335727,0.37253807239764614
34580,Personal Care and Service,4300,644.6,1237.1154971911446,1220.6839466271283,1204.04624960921,1237.1154971911446,0.9191987235357504,0.8937076429213904,0.867896757072929,0.9191987235357504
34580,Production,7700,1429.9999999999998,2111.8317843141867,2084.6282355124863,2057.101737291498,2111.8317843141867,0.47680544357635457,0.457781982875865,0.43853268342062823,0.47680544357635457
34580,Sales and Related,4700,1211.0000000000002,2371.19384655972,2340.266956484532,2308.9586215812146,2371.19384655972,0.9580461160691325,0.9325078088228997,0.9066545182338679,0.9580461160691325
34580,Transportation and Material Moving,9000,1369.1999999999998,2264.2902592733235,2231.0554911485015,2197.364646874978,2264.2902592733235,0.6537322957006454,0.6294591667751256,0.6048529410421984,0.6537322957006454
34620,Architecture and Engineering,1300,745.2,781.4085199713795,765.7514511750352,749.8132574247139,784.8793791848312,0.04858899620421306,0.027578436896182473,0.006190629931178082,0.05324661726359528
34620,"Arts, Design, Entertainment, Sports, Media",2600,824.6000000000001,586.3436675897112,577.22,577.22,577.22,-0.2889356444461421,-0.3,-0.3,-0.3
34620,Building and Grounds Cleaning and Maintenance,4200,1589.9999999999998,1748.1451057051943,1706.6138817808364,1664.1866640149522,1742.6226953404812,0.09946233063219778,0.07334206401310486,0.04665827925468696,0.09598911656634046
34620,Business and Financial Operations,500,1872.0,2060.219788538152,2022.6817814059636,1984.5288355792488,2022.6514814677905,0.10054475883448288,0.08049240459720278,0.060111557467547566,0.08047621873279398
34620,Community and Social Service,2000,1019.4,1670.0036360812198,1658.029358818091,1645.9759945958665,1823.5772779326207,0.6382221268208945,0.6264757296626359,0.614651750633575,0.7888731390353352
34620,Computer and Mathematical,1000,884.0,982.1817113596495,952.6291403374202,922.258406360237,985.1626862680922,0.11106528434349505,0.07763477413735306,0.04327874022651257,0.11443742790508166
34620,Construction and Extraction,6200,2017.4,2201.767012971913,2150.189464790382,2097.5164873616745,2157.2062901863137,0.09138842716958107,0.06582208029661027,0.039712742818317964,0.06930023306548716
34620,"Education, Training, and Library",2200,3579.8000000000006,3749.393609239316,3680.6735508133434,3610.8284913714347,3538.0939393988756,0.04737516320445698,0.028178543721253474,0.00866766058758428,-0.011650388457770028
34620,Food Preparation and Serving,4000,2742.0,2752.629715108494,2688.7825833989336,2623.609077990823,2672.5644224886014,0.0038766284130175854,-0.01940824821337203,-0.04317684974805863,-0.025322967728445833
34620,Healthcare Practitioners and Technical,3000,3206.6000000000004,3095.722344735699,3041.3544161112573,2986.1447843576902,2991.5026007716656,-0.03457795024770813,-0.051532958238864626,-0.06875045707051393,-0.06707958561352663
34620,Healthcare Support,3600,1362.1999999999998,1146.7639093393134,1126.32216293005,1105.5659575516997,1160.9496435651447,-0.15815305436843824,-0.17315947516513722,-0.18839674236404352,-0.14773921335696313
34620,"Installation, Maintenance, and Repair",7000,1579.2,1346.451016216015,1319.0954496521551,1291.2571399382514,1349.0184081280088,-0.14738410827253362,-0.16470652884235362,-0.18233463783038792,-0.14575835351569852
34620,Management,10,4583.799999999999,5003.677390532022,4913.836571722278,4822.547726889616,4989.7583943737045,0.09160028590514918,0.07200064830976027,0.05208510992835996,0.08856372319335615
34620,Office and Administrative Support,5000,6162.6,6274.795989883415,6174.415762145225,6072.612885514733,6276.1705824802075,0.018205950391622677,0.0019173339410678836,-0.014602134567433839,0.018429004394282772
34620,Personal Care and Service,4300,2086.2,1907.5461622251637,1871.7928885926938,1835.4525522671383,1923.6937922327809,-0.08563600698630813,-0.10277399645638302,-0.12019338880877263,-0.07789579511418802
34620,Production,7700,3025.2000000000003,2800.7989397960237,2745.711034880153,2689.6705197533056,2713.796791325051,-0.07417726438052903,-0.09238693809329863,-0.11091150345322454,-0.10293640376667633
34620,Protective Service,3700,937.6,716.807669155356,701.2553391029859,685.4147635595451,723.2878825206486,-0.23548670098618174,-0.25207408372121815,-0.2689688955209629,-0.22857521062217512
34620,Sales and Related,4700,4029.8,4703.4252157204555,4627.48713427003,4550.44244147932,4728.490218007801,0.16716095481672927,0.14831682323441098,0.12919808463926757,0.17338086704248368
34620,Transportation and Material Moving,9000,3644.2,3468.0412469790854,3399.9257354918936,3330.6290628202364,3488.4866538064284,-0.04833948548952163,-0.06703097099723022,-0.08604657735024512,-0.04272908901640182
34740,Architecture and Engineering,1300,1691.9999999999998,1639.5160955806139,1596.5987447947648,1552.6750627781091,1613.3134167722503,-0.031018856039826126,-0.05638372057046982,-0.08234334351175562,-0.04650507282963913
34740,"Arts, Design, Entertainment, Sports, Media",2600,972.6,933.0702597425986,903.8649439806627,873.8343646278381,934.6739028567953,-0.04064336855583123,-0.07067145385496333,-0.10154805199687633,-0.038994547751598524
34740,Building and Grounds Cleaning and Maintenance,4200,2348.7999999999997,3149.355852300404,3076.372413734183,3001.816465368318,3281.0439423939997,0.3408361087791232,0.30976345952579326,0.27802131529645707,0.39690222343068793
34740,Business and Financial Operations,500,2541.4,2864.9938318420486,2795.689488980439,2724.8564126609176,2846.9172057489936,0.1273289650751745,0.10005882150800288,0.07218714592780257,0.1202161036235907
34740,Community and Social Service,2000,1320.8,1456.0932709147294,1424.86993237898,1393.0409465493728,1412.872498847194,0.10243282171012225,0.07879310446621737,0.05469484142139078,0.06970964479648237
34740,Computer and Mathematical,1000,1194.4,1862.3212147241488,1815.4075945839927,1767.3731108398704,1939.7230182810179,0.5592106620262466,0.5199326813328807,0.47971626828522296,0.6240145832895326
34740,Construction and Extraction,6200,3380.8,4064.075634333856,3964.0722855566805,3861.8046399802724,4156.007797808766,0.20210471910017036,0.17252493065448438,0.14227539043429727,0.22929714795573986
34740,"Education, Training, and Library",2200,3354.0,4336.404022693608,4248.779291849958,4159.524285597946,4496.283711938022,0.29290519460155257,0.26677975308585505,0.24016824257541608,0.34057355752475305
34740,Food Preparation and Serving,4000,3678.6,3421.105036907704,3318.98007859257,3214.123457713087,3472.744359923962,-0.06999808706907423,-0.09775999603311863,-0.12626448711110552,-0.055960321882248226
34740,Healthcare Practitioners and Technical,3000,3933.0,4340.661555608025,4254.028682082633,4165.835724575201,4457.443768276442,0.10365155240478657,0.08162437886667498,0.059200540192016565,0.13334446180433318
34740,Healthcare Support,3600,2183.2,2984.393255552972,2943.980294478033,2903.066488292721,3204.5013622928186,0.36698115406420506,0.3484702704644711,0.32972997814800337,0.4678001842675059
34740,"Installation, Maintenance, and Repair",7000,2978.6,2818.6641610370766,2754.5453033962426,2689.132648399871,2821.773637498925,-0.05369497044347113,-0.07522147874966663,-0.09718235130602602,-0.05265103152523842
34740,Management,10,6384.2,7364.414609256797,7200.12068064302,7032.486024103292,7318.153654291359,0.1535375785935273,0.12780312030372187,0.10154538142653607,0.14629141541483026
34740,Office and Administrative Support,5000,8036.4,8251.112100194048,8084.898019191118,7915.691875446012,8598.771775395773,0.026717448135240768,0.006034794085799461,-0.015020173778556023,0.06997807169824477
34740,Personal Care and Service,4300,1954.4,2228.3728848151554,2173.181137395987,2116.7396835648547,2234.1334564021013,0.14018260582027997,0.11194286604379194,0.08306369400575847,0.14313009435228274
34740,Production,7700,12001.4,9504.36219995048,9346.646327136916,9186.700280656416,10058.192340030517,-0.20806220941302853,-0.22120366564426522,-0.23453094800136523,-0.16191508157127363
34740,Protective Service,3700,1558.6,1091.0199999999998,1091.0199999999998,1091.0199999999998,1107.2167345781577,-0.3,-0.3,-0.3,-0.289608151816914
34740,Sales and Related,4700,5135.4,5670.561557646567,5544.345987926005,5415.5848111395735,5771.765136278486,0.10421029669481768,0.07963274290727218,0.05455949120605477,0.12391734553851425
34740,Transportation and Material Moving,9000,4410.4,4968.776774576222,4842.6296637475,4713.555952392851,4928.748532897625,0.12660456524946095,0.09800237251666527,0.06873661173427617,0.11752868966479818
34820,Architecture and Engineering,1300,2203.2000000000003,3404.645352675912,3363.001744764925,3320.887143569681,3560.993856172389,0.5453183336401195,0.5264169139274351,0.5073017173065,0.6162826144573293
34820,"Arts, Design, Entertainment, Sports, Media",2600,3402.2000000000007,3089.4644495770185,3037.5433195985715,2984.861197977878,3113.6002549562218,-0.09192156558197102,-0.10718261136953422,-0.12266733349659713,-0.08482738964310713
34820,Building and Grounds Cleaning and Maintenance,4200,10373.4,9390.606608753918,9245.614170711227,9098.674943443331,9815.011041431593,-0.09474168462086492,-0.10871901491206082,-0.12288401648029282,-0.053828923840631426
34820,Business and Financial Operations,500,6643.6,8704.20847356741,8603.43755987789,8501.607786178112,8966.567485189305,0.31016443999750265,0.29499632125321956,0.2796688220510133,0.3496549288321551
