occ_group,occ_group_code,met2013,dominant_statefip,total_emp,emp_projected,emp_proj_lo,emp_proj_hi,emp_growth_pct,log_wage
Architecture and Engineering,1300,33780,26,1969.4,2061.650721960844,1548.5535137524407,2744.7573891470693,0.04684204425756258,11.276413271145971
Architecture and Engineering,1300,33860,1,2535.3999999999996,2957.449828254433,2221.4089295077674,3937.3702745402597,0.16646281780170136,11.304819829284709
Architecture and Engineering,1300,34060,54,986.0,743.9395558738835,558.790197096156,990.4362418487356,-0.24549740783581797,11.336642757243402
Architecture and Engineering,1300,34620,18,745.2,828.4365220924069,622.2578216289215,1102.9304048601205,0.1116968895496603,11.021896767509912
Architecture and Engineering,1300,34740,26,1691.9999999999998,1873.0091720742541,1406.860485052241,2493.611410618313,0.1069794161195357,11.181440863952236
Architecture and Engineering,1300,34820,45,2203.2000000000003,2557.155983418534,1920.7389695814136,3404.4431997744414,0.16065540278619,11.356228356427508
Architecture and Engineering,1300,34900,6,1122.0,1180.9986569956814,887.0753908732704,1572.3103607378298,0.05258347325818303,11.454280636584109
Architecture and Engineering,1300,34940,12,1962.0,2394.032647257905,1798.2132610820083,3187.2706314533793,0.22020012602339703,11.653632811192386
Architecture and Engineering,1300,34980,47,18298.199999999997,21194.93328581698,15920.004326573695,28217.65545882329,0.15830700756451363,11.318615710623222
Architecture and Engineering,1300,35300,9,9027.0,9677.182540129372,7268.755500683549,12883.616996909332,0.07202642518326928,11.4673360926208
Architecture and Engineering,1300,35380,22,12506.6,13151.916541219836,9878.708529791214,17509.668210736014,0.05159807951160474,11.568520278841032
Architecture and Engineering,1300,35620,36,144883.0,160408.5196772746,120486.5470838899,213558.2254435361,0.10715901573873124,11.51742161154458
Architecture and Engineering,1300,35660,26,1997.4,2046.8934230960256,1537.4689654498677,2725.1104117654995,0.024778924149406967,11.425022345220588
Architecture and Engineering,1300,35840,12,3909.4,4859.062700446214,3649.754314912665,6469.062925796591,0.2429177624306067,11.368449639297086
Architecture and Engineering,1300,35980,9,5896.0,6006.436162353283,4511.573044485151,7996.606730445232,0.018730692393704746,11.407412707943472
Architecture and Engineering,1300,36100,12,2008.2,2615.0711388487503,1964.2403815740718,3481.5479436175187,0.30219656351396784,11.058375094779556
Architecture and Engineering,1300,36220,48,873.4,994.9498406757898,747.3298242878542,1324.6161912567845,0.1391685833246964,11.392448647740403
Architecture and Engineering,1300,36260,49,8520.199999999999,9727.8777617185,7306.833853474383,12951.109556424391,0.1417428888662827,11.35203161508408
Architecture and Engineering,1300,36420,40,13272.8,14601.80823179321,10967.755693833828,19439.966533712464,0.10013020853122252,11.439841537289617
Architecture and Engineering,1300,36500,53,2292.7999999999997,2680.068853793569,2013.0616677364278,3568.0819798983034,0.16890651334332224,11.484261074043198
Architecture and Engineering,1300,36540,31,9328.8,10495.412346945559,7883.346822533192,13972.95879683511,0.12505492099150586,11.330066450081157
Architecture and Engineering,1300,36740,12,27112.4,32324.19307911359,24279.448617884904,43034.4805048887,0.1922291305496226,11.405825211813182
Architecture and Engineering,1300,36780,55,2210.5999999999995,2379.2217738107483,1787.0884716722276,3167.5523281051114,0.07627873600413866,11.226876247963537
Architecture and Engineering,1300,37100,6,10233.8,10846.393504934344,8146.976883471689,14440.233935431266,0.0598598277213102,11.607303672124948
Architecture and Engineering,1300,37340,12,13952.8,15243.840761443556,11450.001167881828,20294.729909030724,0.0925291526749869,11.473304390349387
Architecture and Engineering,1300,37860,12,4455.799999999999,5206.842855322559,3910.980028419999,6932.076441969527,0.16855398701076357,11.321944101796255
