occ_group,met2013,period,total_emp,emp_20_29,emp_30_54,emp_55_plus,mean_wage,share_foreign_born,share_college,n_obs,share_20_29,share_30_54,share_55_plus,log_emp,log_wage,occ_group_code,dominant_statefip
Legal,46220,P2,726.4000000000001,260.20000000000005,303.00000000000006,163.20000000000002,54648.79127358491,0.09251101321585903,0.6952092511013216,34.0,0.35820484581497797,0.417125550660793,0.22466960352422907,6.588100827287084,10.908682375767862,2100,1
Legal,46220,P3,683.4000000000001,206.79999999999998,201.60000000000002,275.0,92274.87908101572,0.0,0.7518290898448932,36.0,0.30260462393912785,0.29499561018437226,0.4023997658764998,6.527080339681191,11.43252721747757,2100,1
Legal,46340,P1,644.0,92.80000000000001,499.0,52.2,79556.24340485405,0.08416149068322981,0.4953416149068323,32.0,0.1440993788819876,0.7748447204968945,0.08105590062111802,6.467698726104354,11.284219514719586,2100,48
Legal,46340,P2,880.1999999999999,77.2,650.6,152.39999999999998,82080.03457216942,0.09611451942740289,0.6596228129970462,47.0,0.08770733924108158,0.7391501931379233,0.17314246762099522,6.780149154376991,11.315450081605402,2100,48
Legal,46340,P3,673.0,69.2,352.0,251.8,82111.75393628709,0.0,0.4790490341753344,32.0,0.10282317979197624,0.5230312035661219,0.37414561664190193,6.511745329644728,11.315836451286863,2100,48
Legal,46520,P1,4630.6,392.6,2938.8,1299.1999999999998,76056.85179595531,0.09013950675938322,0.8091823953699304,249.0,0.08478382930937675,0.6346477778257678,0.28056839286485546,8.440441728317099,11.23923638956534,2100,15
Legal,46520,P2,4350.4,412.20000000000005,2873.5999999999995,1064.6,93980.14773330757,0.16085877160720854,0.782226921662376,230.0,0.0947499080544318,0.6605369621184258,0.24471312982714233,8.378023073878206,11.450838844620964,2100,15
Legal,46520,P3,5228.6,502.4,3525.0,1201.2,103892.84717228542,0.19225031557204605,0.7960065791990207,275.0,0.09608690662892551,0.6741766438434762,0.2297364495275982,8.561898834800088,11.551115331332378,2100,15
Legal,46540,P1,1048.4,64.4,691.4000000000001,292.59999999999997,88228.33056281168,0.05341472720335749,0.7138496756962992,47.0,0.061426936283861124,0.659481114078596,0.27909194963754286,6.955020471449251,11.387683398613719,2100,36
Legal,46540,P2,982.4,148.39999999999998,543.0,291.0,105101.74621653084,0.0,0.8314332247557003,60.0,0.1510586319218241,0.552728013029316,0.2962133550488599,6.889998557392878,11.562684171537017,2100,36
Legal,46540,P3,934.1999999999999,94.4,558.3999999999999,281.4,96768.70415647922,0.10468850353243418,0.8146007278955256,55.0,0.10104902590451725,0.5977306786555341,0.3012202954399486,6.839690548068008,11.480078916822006,2100,36
Legal,46700,P1,1540.1999999999998,45.6,1237.8,256.8,81297.51290473956,0.13193091806258928,0.5839501363459292,84.0,0.02960654460459681,0.8036618620958318,0.16673159329957152,7.33966755710515,11.305870703490351,2100,6
Legal,46700,P2,1352.2000000000003,0.0,959.6,392.59999999999997,93910.08301625733,0.20988019523739088,0.6311196568554946,69.0,0.0,0.7096583345658924,0.2903416654341073,7.2094881746565775,11.450093039796323,2100,6
Legal,46700,P3,1533.6,132.0,1050.4,351.2,104807.1998272387,0.13693270735524257,0.8332029212310904,72.0,0.08607198748043819,0.6849243609806991,0.22900365153886282,7.335373191731435,11.559877749150889,2100,6
Legal,47260,P1,6313.0,1183.6,4125.2,1004.1999999999999,82424.64584568757,0.06434341834310155,0.7304609535878346,360.0,0.187486139711706,0.6534452716616506,0.15906858862664341,8.750366278367625,11.319639771245079,2100,51
Legal,47260,P2,6267.4,935.8,4089.2,1242.3999999999999,85758.37576475232,0.06972588314133453,0.6944825605514249,327.0,0.14931231451638638,0.6524555637106296,0.198232121772984,8.743116874580071,11.35928903681502,2100,51
Legal,47260,P3,7528.4,1083.4,4729.2,1715.8000000000002,99513.40728037177,0.09678019233834548,0.6945698953296849,358.0,0.1439084001912757,0.6281812868604219,0.22791031294830247,8.926437814816408,11.508047660605584,2100,51
Legal,47300,P1,845.4000000000001,154.4,496.8,194.2,58096.37843907917,0.005914360066240832,0.4324580080435297,47.0,0.1826354388455169,0.5876508161816891,0.2297137449727939,6.739809888132689,10.969858607662768,2100,6
Legal,47300,P2,830.2,141.2,514.4,174.6,79212.88634097707,0.06841724885569742,0.4928932787280173,36.0,0.17007949891592386,0.6196097325945554,0.21031076848952057,6.721666635618939,11.279894270892747,2100,6
Legal,47300,P3,694.8,52.8,535.0,107.0,120837.44355679053,0.11744386873920552,0.6945883707541739,37.0,0.07599309153713299,0.7700057570523893,0.15400115141047785,6.54362403436695,11.702201479672642,2100,6
Legal,47380,P2,880.6,113.8,555.0,211.8,78987.53824756607,0.04247104247104247,0.7649330002271177,48.0,0.129230070406541,0.6302521008403361,0.2405178287531229,6.780603493321654,11.277045375304617,2100,48
Legal,47380,P3,1077.0,99.0,737.8,240.2,97198.62375608723,0.014298978644382544,0.7286908077994428,56.0,0.09192200557103064,0.6850510677808728,0.22302692664809656,6.981934677156389,11.484511831460301,2100,48
Legal,47900,P1,86661.4,14080.0,57253.2,15328.2,142058.57356315968,0.13612519530032982,0.916301836803929,4780.0,0.16247141172425095,0.6606539935888411,0.17687459468690792,11.36976385025226,11.86399474141424,2100,51
Legal,47900,P2,86509.4,11093.0,60665.399999999994,14751.0,155641.80991057548,0.1613350687902124,0.9258693274950468,5020.0,0.1282288398717365,0.7012578979856524,0.17051326214261112,11.368008357535988,11.955312555857498,2100,51
Legal,47900,P3,99067.2,12032.8,70665.8,16368.599999999999,179949.30473536442,0.17142101523006606,0.9283334948398663,5443.0,0.12146098809696852,0.713311772211186,0.16522723969184552,11.50355368672322,12.100430449845167,2100,51
Legal,48620,P1,2286.3999999999996,392.6,1509.1999999999998,384.6,89702.05761316874,0.04478656403079077,0.7737053883834851,96.0,0.17171098670398885,0.6600769769069279,0.1682120363890833,7.734733807175603,11.404248986615109,2100,20
Legal,48620,P2,1982.6000000000001,268.59999999999997,1125.4,588.6,105124.16227726101,0.03560980530616362,0.7510339957631392,92.0,0.13547866438010692,0.5676384545546252,0.29688288106526783,7.5921643935987975,11.562897428418395,2100,20
Legal,48620,P3,2001.8,313.20000000000005,1128.8,559.8000000000001,81357.53210496929,0.09811169947047657,0.6943750624438004,87.0,0.15645918673194129,0.5638924967529224,0.27964831651513644,7.601802054784918,11.306608697235951,2100,20
Legal,48900,P1,859.2,21.8,656.0,181.4,124103.0158256196,0.08356610800744878,0.8442737430167598,38.0,0.02537243947858473,0.7635009310986964,0.21112662942271881,6.756001723754601,11.728867272473726,2100,37
Legal,48900,P2,1156.6,99.6,951.1999999999999,105.8,78034.82080112438,0.15061386823448036,0.7793532768459278,52.0,0.08611447345668338,0.8224105135742694,0.09147501296904721,7.053239945724118,11.264910426582967,2100,37
Legal,48900,P3,1559.3999999999999,226.8,1031.8,300.8,95172.66385699753,0.0882390663075542,0.8799538283955367,63.0,0.14544055405925357,0.661664742849814,0.19289470309093243,7.352056410875499,11.463448035186351,2100,37
Legal,49180,P1,2391.0,282.4,1585.0,523.6,69785.88322569385,0.024843161856963614,0.5857800083647009,133.0,0.11810957758260142,0.6629025512337934,0.2189878711836052,7.779466967458324,11.153187022245742,2100,37
Legal,49180,P2,2176.2000000000003,257.8,1428.2,490.20000000000005,86219.61842358834,0.09374138406396469,0.6494807462549398,122.0,0.11846337652789264,0.6562815917654626,0.2252550317066446,7.685335515516912,11.36465302267765,2100,37
Legal,49180,P3,2037.0,227.2,1208.6000000000001,601.2,106390.06390434962,0.091899852724595,0.7744722631320569,98.0,0.11153657339224349,0.5933235149729996,0.295139911634757,7.619233416226805,11.574867467171474,2100,37
Legal,49340,P1,2944.6000000000004,384.6,1699.4,860.6,85911.37365543997,0.0751205596685458,0.8267336819941589,164.0,0.13061196766963254,0.5771242273993071,0.29226380493106024,7.9877282634313085,11.361071504975113,2100,25
Legal,49340,P2,3006.8,184.2,2062.6000000000004,760.0,104889.48109884952,0.04576293734202474,0.8780763602500996,163.0,0.06126114141279765,0.6859784488492751,0.25276040973792735,8.008631669303314,11.560662513845019,2100,25
Legal,49340,P3,3470.0,416.4,2152.6,901.0,99346.23663013337,0.06812680115273774,0.761671469740634,173.0,0.12,0.6203458213256484,0.2596541786743516,8.151909872940905,11.506366367344366,2100,25
Legal,49420,P2,689.2,147.8,507.79999999999995,33.6,64478.15817223198,0.1334881021474173,0.681369704004643,32.0,0.21445153801508995,0.7367962855484619,0.04875217643644805,6.5355315046537745,11.074081812446115,2100,53
Legal,49420,P3,1188.8000000000002,286.0,667.6000000000001,235.2,65774.5229622098,0.15242261103633917,0.5721736204576042,39.0,0.24057873485868098,0.5615746971736205,0.19784656796769848,7.080699673963495,11.093987853312218,2100,53
Legal,49620,P1,1591.6000000000001,56.0,1093.2,442.40000000000003,71935.78767123289,0.03392812264388037,0.6294295049007289,65.0,0.0351847197788389,0.6868559939683337,0.27795928625282734,7.372495078552774,11.183529162174622,2100,42
Legal,49620,P2,1588.2,138.4,994.0,455.8,81237.25830110682,0.04017126306510515,0.6482810729127315,66.0,0.08714267724467951,0.6258657599798514,0.28699156277546906,7.37035657846111,11.305129266984844,2100,42
Legal,49620,P3,1379.6,184.79999999999998,876.4,318.4,75298.77750611246,0.0,0.7133951870107278,68.0,0.13395187010727747,0.6352565961148159,0.23079153377790665,7.229548881062685,11.22921917867761,2100,42
Legal,49660,P1,1372.6000000000001,17.4,1015.6000000000001,339.6,74082.06908522826,0.013113798630336586,0.7839137403467871,77.0,0.012676672009325365,0.7399096604983244,0.24741366749235028,7.224462030474534,11.212928799346162,2100,39
