met2013,state_abbr,metro_name,lat,lon,metro_name_short
42660,WA,"Seattle-Tacoma-Bellevue, WA Metro Area",47.490552,-121.833977,Seattle-Tacoma-Bellevue
42680,FL,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",27.700528,-80.574789,Sebastian-Vero Beach-West Vero Corridor
43100,WI,"Sheboygan, WI Metro Area",43.738713,-87.731531,Sheboygan
43340,LA,"Shreveport-Bossier City, LA Metro Area",32.437682,-93.744884,Shreveport-Bossier City
43900,SC,"Spartanburg, SC Metro Area",34.83462,-81.842401,Spartanburg
44060,WA,"Spokane-Spokane Valley, WA Metro Area",48.091618,-117.663472,Spokane-Spokane Valley
44100,IL,"Springfield, IL Metro Area",39.828621,-89.696067,Springfield
44140,MA,"Springfield, MA Metro Area",42.136198,-72.635648,Springfield
44180,MO,"Springfield, MO Metro Area",37.36087,-93.180262,Springfield
44220,OH,"Springfield, OH Metro Area",39.917032,-83.783676,Springfield
44300,PA,"State College, PA Metro Area",40.909322,-77.847667,State College
44700,CA,"Stockton-Lodi, CA Metro Area",37.934982,-121.272244,Stockton-Lodi
45060,NY,"Syracuse, NY Metro Area",43.006516,-76.196134,Syracuse
45300,FL,"Tampa-St. Petersburg-Clearwater, FL Metro Area",28.120541,-82.525188,Tampa-St. Petersburg-Clearwater
45780,OH,"Toledo, OH Metro Area",41.544357,-83.690777,Toledo
45820,KS,"Topeka, KS Metro Area",39.041389,-95.802639,Topeka
45940,NJ,"Trenton-Princeton, NJ Metro Area",40.282503,-74.703724,Trenton-Princeton
46060,AZ,"Tucson, AZ Metro Area",32.128038,-111.783657,Tucson
46220,AL,"Tuscaloosa, AL Metro Area",33.097877,-87.799147,Tuscaloosa
46340,TX,"Tyler, TX Metro Area",32.375105,-95.268939,Tyler
46520,HI,"Urban Honolulu, HI Metro Area",21.461365,-158.201974,Urban Honolulu
46540,NY,"Utica-Rome, NY Metro Area",43.33228,-75.173189,Utica-Rome
46700,CA,"Vallejo, CA Metro Area",38.267226,-121.939594,Vallejo
47260,VA,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",36.837289,-76.391849,Virginia Beach-Chesapeake-Norfolk
47300,CA,"Visalia, CA Metro Area",36.228834,-118.781055,Visalia
47380,TX,"Waco, TX Metro Area",31.5921,-97.286018,Waco
47900,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.829787,-77.495684,Washington-Arlington-Alexandria
48140,WI,"Wausau, WI Metro Area",44.898036,-89.757823,Wausau
48300,WA,"Wenatchee-East Wenatchee, WA Metro Area",47.76611,-120.270197,Wenatchee-East Wenatchee
48620,KS,"Wichita, KS Metro Area",37.637896,-97.246287,Wichita
48660,TX,"Wichita Falls, TX Metro Area",33.776144,-98.501907,Wichita Falls
48900,NC,"Wilmington, NC Metro Area",34.253691,-78.041674,Wilmington
49180,NC,"Winston-Salem, NC Metro Area",36.078852,-80.345064,Winston-Salem
49340,MA,"Worcester, MA Metro Area",42.311693,-71.940282,Worcester
49420,WA,"Yakima, WA Metro Area",46.456558,-120.740145,Yakima
49620,PA,"York-Hanover, PA Metro Area",39.921751,-76.728889,York-Hanover
49660,OH,"Youngstown-Warren, OH Metro Area",41.195092,-80.76508,Youngstown-Warren
49700,CA,"Yuba City, CA Metro Area",39.160969,-121.511833,Yuba City
49740,AZ,"Yuma, AZ Metro Area",32.773942,-113.910905,Yuma
