met2013,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
11100,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,36.01,0.61,0.00,0.00,0.00
11100,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,74.72,1.26,0.00,0.00,0.00
11260,17-2,Mechanical Engineers,Architecture and Engineering,1300,low,855.63,234.21,0.00,0.00,0.00
11260,17-3,Architectural and Civil Drafters,Architecture and Engineering,1300,low,332.17,90.92,0.00,0.00,0.00
11260,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,1340.90,1117.84,784.14,491.21,232.59
11260,23-1,Lawyers,Legal,2100,low,440.10,416.42,379.13,344.30,311.66
11260,23-2,Paralegals and Legal Assistants,Legal,2100,low,329.89,312.14,284.19,258.08,233.62
11260,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,575.46,372.68,60.30,0.00,0.00
11260,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,253.34,164.07,26.54,0.00,0.00
11260,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,2954.51,1106.56,0.00,0.00,0.00
11260,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,1316.86,493.21,0.00,0.00,0.00
11260,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,144.03,49.79,0.00,0.00,0.00
11260,31-9,Medical Assistants,Healthcare Support,3600,low,77.64,26.84,0.00,0.00,0.00
11260,33-9,Security Guards,Protective Service,3700,low,459.69,394.97,294.40,201.96,116.70
11260,37-2,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance,4200,low,424.60,0.00,0.00,0.00,0.00
11260,39-9,Childcare Workers,Personal Care and Service,4300,low,76.30,0.00,0.00,0.00,0.00
11260,43-1,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,5000,low,41.19,0.00,0.00,0.00,0.00
11260,43-3,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,5000,low,46.75,0.00,0.00,0.00,0.00
11260,43-4,Customer Service Representatives,Office and Administrative Support,5000,low,66.72,0.00,0.00,0.00,0.00
11260,43-5,"Shipping, Receiving, and Inventory Clerks",Office and Administrative Support,5000,low,30.87,0.00,0.00,0.00,0.00
11260,43-6,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support,5000,low,71.01,0.00,0.00,0.00,0.00
11260,43-9,"Office Clerks, General",Office and Administrative Support,5000,low,42.43,0.00,0.00,0.00,0.00
11260,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,417.92,356.75,262.18,175.81,96.62
11260,47-2,Construction Laborers,Construction and Extraction,6200,low,2003.24,1710.00,1256.71,842.73,463.14
11260,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,1264.91,1106.01,864.64,648.82,454.88
11260,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,1165.31,1018.92,796.56,597.73,419.06
11460,15-1,Software Developers,Computer and Mathematical,1000,low,951.00,635.93,152.74,0.00,0.00
11460,17-2,Mechanical Engineers,Architecture and Engineering,1300,low,2185.73,1056.38,0.00,0.00,0.00
11460,19-1,"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science",1600,low,903.02,876.39,834.46,795.28,758.58
11460,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,1130.33,997.43,792.71,606.55,436.54
11460,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,845.49,746.08,592.95,453.70,326.54
11460,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,519.23,458.18,364.14,278.62,200.53
11460,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,3003.37,2650.23,2106.29,1611.63,1159.93
11460,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,477.91,399.06,277.20,165.93,63.92
11460,31-9,Medical Assistants,Healthcare Support,3600,low,210.78,176.00,122.26,73.18,28.19
11460,35-2,"Cooks, Restaurant",Food Preparation and Serving,4000,low,233.44,189.97,122.96,61.95,6.19
11460,35-3,Fast Food and Counter Workers,Food Preparation and Serving,4000,low,681.94,554.96,359.20,180.98,18.08
11460,39-9,Childcare Workers,Personal Care and Service,4300,low,342.74,0.00,0.00,0.00,0.00
11460,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,180.22,139.01,75.00,16.18,0.00
11460,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,151.96,117.21,63.24,13.64,0.00
11460,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,210.71,162.53,87.69,18.92,0.00
11500,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,344.75,295.58,219.83,150.92,87.98
11500,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,444.28,122.43,0.00,0.00,0.00
11500,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,719.71,680.50,619.59,563.62,512.01
11500,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,842.57,796.66,725.35,659.83,599.42
11500,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,295.20,257.20,198.20,144.05,94.16
