met2013,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
46060,Construction and Extraction,6200,mid,2926.425970354878,2199.575821725135,1075.871541759523,49.45491720665814,0.0
46060,"Education, Training, and Library",2200,high,5457.845254012729,4520.933679943366,3077.5972747273845,1764.8351829824203,565.8830329603443
46060,"Education, Training, and Library",2200,low,4775.508376604488,3859.907252590885,2449.388126236943,1166.4609393133942,0.0
46060,"Education, Training, and Library",2200,mid,5135.401165329873,4208.560025491981,2780.73170422409,1482.068350235495,295.9869467834542
46060,"Farming, Fishing, and Forestry",6000,high,117.54182296744636,69.09604563086498,0.0,0.0,0.0
46060,"Farming, Fishing, and Forestry",6000,low,126.2027139268165,77.39986163005176,3.172203867182816,0.0,0.0
46060,"Farming, Fishing, and Forestry",6000,mid,121.63460057486976,73.02008443207717,0.0,0.0,0.0
46060,Food Preparation and Serving,4000,high,1983.1330391710435,1182.8439037023672,0.0,0.0,0.0
46060,Food Preparation and Serving,4000,low,635.5579601398313,0.0,0.0,0.0,0.0
46060,Food Preparation and Serving,4000,mid,1346.3249863212477,565.6534864845271,0.0,0.0,0.0
46060,Healthcare Practitioners and Technical,3000,high,4854.659800239835,0.0,0.0,0.0,0.0
46060,Healthcare Practitioners and Technical,3000,low,1995.1554242800703,0.0,0.0,0.0,0.0
46060,Healthcare Practitioners and Technical,3000,mid,3503.376712488225,0.0,0.0,0.0,0.0
46060,Healthcare Support,3600,high,2300.1519959124053,1900.6722494483763,1283.2000630101502,719.314174161289,202.3222167905824
46060,Healthcare Support,3600,low,847.2649791601289,489.7496221038928,0.0,0.0,0.0
46060,Healthcare Support,3600,mid,1613.5778921423098,1233.9287744303492,647.0911408143857,111.16182954227406,0.0
46060,"Installation, Maintenance, and Repair",7000,high,4099.217120309484,3338.358180074836,2182.2887898575573,1148.1820333664073,218.6395071290026
46060,"Installation, Maintenance, and Repair",7000,low,3156.807680396123,2435.396937075593,1339.21299662588,358.6147740941233,0.0
46060,"Installation, Maintenance, and Repair",7000,mid,3653.873532588983,2911.6561729654713,1783.8861608339976,775.0653166840184,0.0
46060,"Life, Physical, and Social Science",1600,high,2016.2274162256715,1925.4545133840568,1782.4948184859468,1648.9552554308484,1523.8444752554624
46060,"Life, Physical, and Social Science",1600,low,1701.5522817412466,1615.30731474007,1479.4783936865224,1352.5993456254882,1233.7283360570837
46060,"Life, Physical, and Social Science",1600,mid,1867.5250078853976,1778.8918195953838,1639.3018324619295,1508.909752356276,1386.7476287954942
46060,Personal Care and Service,4300,high,2855.9251894273675,622.5077466672938,0.0,0.0,0.0
46060,Personal Care and Service,4300,low,1916.529051622112,0.0,0.0,0.0,0.0
46060,Personal Care and Service,4300,mid,2412.00556321964,234.07833446389668,0.0,0.0,0.0
46060,Protective Service,3700,high,3791.1357240268753,3444.2361220405182,2905.1880459969725,2409.760523783196,1952.7477466554649
46060,Protective Service,3700,low,3513.209486813539,3173.1892063070063,2644.8271303476868,2159.2166672466155,1711.2560268363795
46060,Protective Service,3700,mid,3659.7993193176626,3316.1505991446174,2782.152283231155,2291.363895708684,1838.6287826954776
46060,Sales and Related,4700,high,1967.2339517910295,0.0,0.0,0.0,0.0
46060,Sales and Related,4700,low,489.2710517504093,0.0,0.0,0.0,0.0
46060,Sales and Related,4700,mid,1268.810026323561,0.0,0.0,0.0,0.0
46140,Business and Financial Operations,500,high,900.9156565126888,732.1328687405567,466.3353014406457,218.0764151486801,0.0
46140,Business and Financial Operations,500,low,601.7747669685541,437.2963890676602,178.27757800629115,0.0,0.0
46140,Business and Financial Operations,500,mid,759.5540876008417,592.8053852844478,330.2111768386585,84.94439493036043,0.0
46140,Community and Social Service,2000,high,1194.9526616098656,983.1731165976356,666.3229081202376,388.1547980909536,142.54966783713326
46140,Community and Social Service,2000,low,1046.8527837550782,842.9066331953309,537.7709505719413,269.8813141523183,33.34615316519921
46140,Community and Social Service,2000,mid,1124.966806044919,916.8889981352164,605.5745883789641,332.263658381788,90.94461916512682
46140,Construction and Extraction,6200,high,861.8244330484467,538.2364684165659,38.00030153508851,0.0,0.0
46140,Construction and Extraction,6200,low,581.048948529713,265.5180543378319,0.0,0.0,0.0
46140,Construction and Extraction,6200,mid,729.1415923173172,409.36106477625617,0.0,0.0,0.0
46140,"Education, Training, and Library",2200,high,3292.875025079169,2891.007955534975,2271.945942108672,1708.9161671983438,1194.7228975833186
46140,"Education, Training, and Library",2200,low,3039.103457188752,2645.1620714265064,2038.3053082020544,1486.3715927677276,982.3079228310252
46140,"Education, Training, and Library",2200,mid,3172.953114581156,2774.8313942462355,2161.537075500937,1603.7508377702216,1094.3443965461884
46140,Healthcare Practitioners and Technical,3000,high,2143.5449882546145,0.0,0.0,0.0,0.0
46140,Healthcare Practitioners and Technical,3000,low,1752.6558898318926,0.0,0.0,0.0,0.0
46140,Healthcare Practitioners and Technical,3000,mid,1958.827023726995,0.0,0.0,0.0,0.0
46140,Healthcare Support,3600,high,1316.027943382349,1142.692561691274,874.7921189874214,630.1657998022847,405.9049230057153
46140,Healthcare Support,3600,low,1035.1771047892362,869.9536642335243,614.5846289958308,381.39426146326787,167.61128565671697
